"mr-4 href","mt-2 src","company-name","ml-2","mt-3","text-blue-600","text-blue-600 href","detail-label","detail-label 2","detail-label 3","font-medium","font-medium href","after:inline-block","after:inline-block 2","after:inline-block 3","after:inline-block 4","after:inline-block 5","detail-label 4","my-1","after:inline-block 6","text-blue-600 3","text-blue-600 href 3","font-medium 2","font-medium href 2","after:inline-block 7","after:inline-block 8","after:inline-block 9","after:inline-block 10","after:inline-block 11","after:inline-block 12","rounded-md 2","font-medium 3","font-medium href 3","after:inline-block 13","after:inline-block 14","after:inline-block 15","rounded-md 3","after:inline-block 18","after:inline-block 19"
"https://www.workatastartup.com/companies/morphoai","https://bookface-images.s3.amazonaws.com/small_logos/b6d184a7985bf94fb06fe3645712c7af87070512.png","MorphoAI","(X25)","Software tool for designing robots and machines","morpho.ai","https://www.workatastartup.com/companies/morphoai/website","5 people","Industrials","Manufacturing and Robotics","Founding Engineer","https://www.workatastartup.com/jobs/76272","London, England, GB","fulltime","US citizenship/visa not required","£50K - £110K GBP","1+ years","","","","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/vassar-robotics","https://bookface-images.s3.amazonaws.com/small_logos/298de1df0e98ea832138177668c9cea22705e3fb.png","Vassar Robotics","(X25)","Ultra-affordable robots that are practical and accessible today.","vassarrobotics.com","https://www.workatastartup.com/companies/vassar-robotics/website","San Francisco","3 people","Consumer","Hardware Engineer","https://www.workatastartup.com/jobs/77928","San Francisco, CA, US","fulltime","Will sponsor","$120K - $250K","1.00% - 10.00%","Consumer Electronics","Interview Process","Any (new grads ok)","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/third-chair","https://bookface-images.s3.amazonaws.com/small_logos/18cebff9bcd74859dde2e614ddfdcdaf32c2ffb3.png","Third Chair","(X25)","Agents for in-house legal teams","usethirdchair.com","https://www.workatastartup.com/companies/third-chair/website","2 people","B2B Software and Services","Legal","Software Engineer (Frontend)","https://www.workatastartup.com/jobs/77554","IN / Remote (IN)","fulltime","US citizenship/visa not required","₹2M - ₹3M INR","0.05% - 0.10%","","","3+ years","usethirdchair","https://x.com/usethirdchair","Senior Software Engineer (Backend)","https://www.workatastartup.com/jobs/77555","IN / Remote (IN)","fulltime","US citizenship/visa not required","₹3.8M - ₹5M INR","0.05% - 0.10%","3+ years","View job","","","","","","","",""
"https://www.workatastartup.com/companies/throxy","https://bookface-images.s3.amazonaws.com/small_logos/5384c6c535d7bcbaf2c4cee7af212ec06f70e79d.png","throxy","(X25)","Vertical AI agents that run the sales funnel on autopilot","throxy.com","https://www.workatastartup.com/companies/throxy/website","4 people","B2B Software and Services","Sales","Product & Operations Associate","https://www.workatastartup.com/jobs/78095","London, England, GB","fulltime","US citizenship/visa not required","$50K - $100K","1+ years","","Interview Process","US citizenship/visa not required","throxyai","https://x.com/throxyai","Founding Engineer (Full-Stack)","https://www.workatastartup.com/jobs/75804","London, England, GB","fulltime","$65K - $80K","3+ years","US citizenship/visa not required","$65K - $80K","View job","Founding Engineer (Backend)","https://www.workatastartup.com/jobs/76823","London, England, GB","fulltime","3+ years","View job","",""
"https://www.workatastartup.com/companies/claim-health","https://bookface-images.s3.amazonaws.com/small_logos/c286f38db8cc7695ccbc163189808ca1c0bcb7d3.png","Claim Health","(X25)","The first AI revenue platform for post-acute healthcare","claimhealth.com","https://www.workatastartup.com/companies/claim-health/website","2 people","Healthcare","","Founding Engineer","https://www.workatastartup.com/jobs/77337","New York, NY, US","fulltime","Will sponsor","$150K - $200K","1.00% - 2.00%","","","1+ years","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/cua","https://bookface-images.s3.amazonaws.com/small_logos/482d9c63c12b9cc8259e1f66c9d39433b6cdc003.png","Cua","(X25)","Docker for Computer-use Agents","trycua.com","https://www.workatastartup.com/companies/cua/website","2 people","B2B Software and Services","Engineering, Product and Design","Founding Engineer, Infra","https://www.workatastartup.com/jobs/78131","Madrid, MD, ES / Madrid, Community of Madrid, ES","fulltime","US citizenship/visa not required","$40K - $70K","0.25% - 0.50%","","","1+ years","trycua","https://x.com/trycua","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/groundcontrol","https://bookface-images.s3.amazonaws.com/small_logos/aa0a54f0fef4c64097aee43f99b1b40bf7bda56a.png","GroundControl","(X25)","Vertical AI for highly-regulated manufacturing","rungroundcontrol.com","https://www.workatastartup.com/companies/groundcontrol/website","San Francisco","4 people","Industrials","Cloud Operations Engineer","https://www.workatastartup.com/jobs/75961","San Francisco, CA, US / St. John's, Newfoundland and Labrador, CA","fulltime","US citizenship/visa not required","$120K - $180K","6+ years","Aviation and Space","","","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/bloom-4","https://bookface-images.s3.amazonaws.com/small_logos/3577a0e8b2ab3aba26616432bba656fef491a245.png","Bloom","(X25)","Build and share mobile apps in seconds","bloom.diy","https://www.workatastartup.com/companies/bloom-4/website","2 people","B2B Software and Services","Engineering, Product and Design","Founding Engineer","https://www.workatastartup.com/jobs/77797","Zürich, ZH, CH / Remote","fulltime","US citizenship/visa not required","$100K - $150K","0.50% - 2.00%","","Interview Process","3+ years","CreateWithBloom","https://x.com/CreateWithBloom","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/cubic","https://bookface-images.s3.amazonaws.com/small_logos/8d4b717bddf685ac3a5f54298f79381c741a52c3.png","cubic","(X25)","AI-powered code review platform","cubic.dev","https://www.workatastartup.com/companies/cubic/website","London, United Kingdom","2 people","B2B Software and Services","Founding Product Engineer @ cubic (YC X25)","https://www.workatastartup.com/jobs/77373","London, England, GB","fulltime","US citizenship/visa not required","£70K - £120K GBP","0.10% - 1.00%","Engineering, Product and Design","","6+ years","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/nao-labs","https://bookface-images.s3.amazonaws.com/small_logos/fc383861067e52763d4fc791adef3e3fa4e6164d.png","nao Labs","(X25)","Cursor for data teams.","getnao.io","https://www.workatastartup.com/companies/nao-labs/website","2 people","B2B Software and Services","Analytics","Founding AI engineer","https://www.workatastartup.com/jobs/78372","Paris, IDF, FR / Paris, Île-de-France, FR / Remote (FR; BE; IT; ES; DE; CH; AT; LU; DK; SE; PT; FI; NO; PL; CZ; GR)","fulltime","US citizenship/visa not required","€50K - €80K EUR","0.50% - 2.00%","","Interview Process","3+ years","","","","","","","","","","","","","","","","","","",""
